-0.049448	1.70135e-06
-0.034448	1.72626e-06
-0.019448	1.68882e-06
-0.004448	1.57107e-06
0.010552	1.43994e-06
0.025552	1.45362e-06
0.040552	1.63912e-06
0.055552	1.72651e-06
0.070552	2.21645e-06
0.085552	2.05163e-06
0.100552	1.81062e-06
0.115552	1.79877e-06
0.130552	2.02349e-06
0.145552	2.38633e-06
0.160552	3.1468e-06
0.175552	3.12061e-06
0.190552	3.31998e-06
0.205552	4.03591e-06
0.220552	4.80354e-06
0.235552	7.18806e-06
0.250552	8.89438e-06
0.265552	8.12762e-06
0.280552	4.9714e-06
0.295552	3.94751e-06
0.310552	3.48297e-06
0.325552	3.6667e-06
0.340552	3.66736e-06
0.355552	3.32485e-06
0.370552	2.63211e-06
0.385552	1.8834e-06
0.400552	1.80241e-06
0.415552	1.918e-06
0.430552	1.95883e-06
0.445552	1.64336e-06
0.460552	1.42573e-06
0.475552	1.37612e-06
0.490552	1.35977e-06
0.505552	1.35272e-06
0.520552	1.31639e-06
0.535552	1.39426e-06
0.550552	1.70042e-06
